Gene Symbol,Gene ID,Interaction Count,Organism Count
ATP8B4,79895,1,1
ATXN1,6310,1,1
AUNIP,79000,1,1
AURKA,6790,1,1
AURKB,9212,1,1
AUTS2,26053,1,1
AVPI1,60370,1,1
AZGP1,563,1,1
AZIN1,51582,1,1
B3GLCT,145173,1,1
B4GALNT2,124872,1,1
BABAM2,9577,1,1
BACE1,23621,1,1
BAD,572,1,1
BAG1,573,1,1
BAG2,9532,1,1
BARX2,8538,1,1
BATF3,55509,1,1
BAZ2B,29994,1,1
BBS2,583,1,1
BCAR1,9564,1,1
BCAR3,8412,1,1
BCKDHB,594,1,1
BCKDK,10295,1,1
BCL2A1B,12045,1,1
BCL6,604,1,1
BCL9,607,1,1
BCS1L,617,1,1
BDH1,622,1,1
BDKRB1,623,1,1
BDP1,55814,1,1
BEND3,57673,1,1
BET1,10282,1,1
BGN,633,1,1
BIRC5,332,1,1
BLID,414899,1,1
BLM,641,1,1
BLOC1S2,282991,1,1
BMF,90427,1,1
BMP1,649,1,1
BMP4,652,1,1
BMP8A,353500,1,1
BMPER,168667,1,1
BMS1P10,728611,1,1
BOLA2,552900,1,1
BOP1,23246,1,1
BORA,79866,1,1
BPGM,669,1,1
BRAP,8315,1,1
BRI3BP,140707,1,1
BRIX1,55299,1,1
BRWD3,254065,1,1
BST1,683,1,1
BTBD6,90135,1,1
BTBD9,114781,1,1
BTC,685,1,1
BTF3,689,1,1
BTG3,10950,1,1
BTN3A2,11118,1,1
BTN3A3,10384,1,1
BTNL1,100038862,1,1
BZW1,9689,1,1
BZW2,28969,1,1
C11ORF87,399947,1,1
C11ORF96,387763,1,1
C19ORF48P,84798,1,1
C1D,10438,1,1
C1QA,712,1,1
C1QBP,708,1,1
C1QTNF1,114897,1,1
C1QTNF2,114898,1,1
C1QTNF6,114904,1,1
C21ORF58,54058,1,1
C3-2,100125802,1,1
C4ORF46,201725,1,1
C9ORF40,55071,1,1
CABLES1,91768,1,1
CACNG7,59284,1,1
CACNG8,59283,1,1
CACYBP,27101,1,1
CAD,790,1,1
CALHM5,254228,1,1
CALR,811,1,1
CAMK1G,57172,1,1
CAMK2N1,55450,1,1
CAMK2N2,94032,1,1
CAMLG,819,1,1
CAND2,23066,1,1
CAPG,822,1,1
CAR12,76459,1,1
CARD16,114769,1,1
CARD6,84674,1,1
CARMIL1,55604,1,1
CARS1,833,1,1
CASP12,100506742,1,1
CASP8AP2,9994,1,1
CASQ1,844,1,1
CASZ1,54897,1,1
CAV2,858,1,1
CAVIN2,8436,1,1
CAVIN3,112464,1,1
CBLNL,100135893,1,1
CBR3,874,1,1
CBX3,11335,1,1
CC2D2A,57545,1,1
CCDC125,202243,1,1
CCDC71,64925,1,1
CCDC71L,168455,1,1
CCDC85B,11007,1,1
CCDC86,79080,1,1
CCK,885,1,1
CCL11,6356,1,1
CCL17,6361,1,1
CCL20,6364,1,1
CCL24,6369,1,1
CCL3,6348,1,1
CCL5,6352,1,1
CCL6,20305,1,1
CCN1,3491,1,1
CCN2,1490,1,1
CCNA2,890,1,1
CCNB2,9133,1,1
CCNE1,898,1,1
CCNG1,900,1,1
CCNH,902,1,1
CCNT2,905,1,1
CCT2,10576,1,1
CCT3,7203,1,1
CCT4,10575,1,1
CCT6A,908,1,1
CCT6B,10693,1,1
CCT7,10574,1,1
CCT8,10694,1,1
CD163,9332,1,1
CD24,100133941,1,1
CD244,51744,1,1
CD248,57124,1,1
CD320,51293,1,1
CD3G,917,1,1
CD44,960,1,1
CD55,1604,1,1
CD68,968,1,1
CD7,924,1,1
CD70,970,1,1
CD80,941,1,1
CD86,942,1,1
CDA,978,1,1
CDC14A,8556,1,1
CDC20,991,1,1
CDC20P1,157956,1,1
CDC42EP1,11135,1,1
CDC45,8318,1,1
CDC6,990,1,1
CDC7,8317,1,1
CDCA2,157313,1,1
CDCA3,83461,1,1
CDCA4,55038,1,1
CDCA5,113130,1,1
CDCA7,83879,1,1
CDH4,1002,1,1
CDH5,1003,1,1
CDHR2,54825,1,1
CDHR5,53841,1,1
CDIP1,29965,1,1
CDK17,5128,1,1
CDK2AP1,8099,1,1
CDKAL1,54901,1,1
CDKN2D,1032,1,1
CDKN3,1033,1,1
CDR2L,30850,1,1
CDV3,55573,1,1
CEACAM1,634,1,1
CEACAM18,729767,1,1
CEACAM20,125931,1,1
CEBPD,1052,1,1
CENPB,1059,1,1
CENPE,1062,1,1
CENPH,64946,1,1
CENPM,79019,1,1
CENPU,79682,1,1
CEP-1,172616,1,1
CEP15,57415,1,1
CEP43,11116,1,1
CEP55,55165,1,1
CEP97,79598,1,1
CFB,629,1,1
CFH,3075,1,1
CFHR2,3080,1,1
CFI,3426,1,1
CFTR,1080,1,1
CGB8,94115,1,1
CH25H,9023,1,1
CHAC2,494143,1,1
CHADL,150356,1,1
CHAF1B,8208,1,1
CHCHD5,84269,1,1
CHCHD6,84303,1,1
CHD3,1107,1,1
CHD9,80205,1,1
CHMP1B,57132,1,1
CHMP5,51510,1,1
CHMP6,79643,1,1
CHRDL1,91851,1,1
CHRNA5,1138,1,1
CHST11,50515,1,1
CHST14,113189,1,1
CHST3,9469,1,1
CHST4,10164,1,1
CIART,148523,1,1
CIDEA,1149,1,1
CILK1,22858,1,1
CINP,51550,1,1
CIRSR,9541,1,1
CISH,1154,1,1
CIT,11113,1,1
CITED4,163732,1,1
CKAP2L,150468,1,1
CLCA1,1179,1,1
CLCA2,9635,1,1
CLCA4B,99709,1,1
CLDN1,9076,1,1
CLDN15,24146,1,1
CLEC1B,51266,1,1
CLEC2B,9976,1,1
CLEC2H,94071,1,1
CLEC7A,64581,1,1
CLGN,1047,1,1
CLIC3,9022,1,1
CLIC5,53405,1,1
CLK1,1195,1,1
CLK4,57396,1,1
CLMN,79789,1,1
CLMP,79827,1,1
CLP1,10978,1,1
CLPTM1,1209,1,1
CLPX,10845,1,1
CLRN3,119467,1,1
CLSPN,63967,1,1
CMA2,545055,1,1
CMC2,56942,1,1
CMPK2,129607,1,1
CMSS1,84319,1,1
CMTM3,123920,1,1
CNKSR2,22866,1,1
CNN1,1264,1,1
CNN2,1265,1,1
CNN3,1266,1,1
CNNM1,26507,1,1
CNNM2,54805,1,1
CNOT8,9337,1,1
CNPY1,285888,1,1
COBL,23242,1,1
COL16A1,1307,1,1
COL2A1,1280,1,1
COL5A1,1289,1,1
COL5A2,1290,1,1
COL6A1,1291,1,1
COLGALT2,23127,1,1
COMMD4,54939,1,1
COTL1,23406,1,1
COX17,10063,1,1
COX18,285521,1,1
COX2,4513,1,1
COX7B,1349,1,1
COXFA4L3,84419,1,1
CPA3,1359,1,1
CPAP,55835,1,1
CPB1,1360,1,1
CPE,1363,1,1
CPEB3,22849,1,1
CPNE8,144402,1,1
CREBL2,1389,1,1
CRP,1401,1,1
CRYAA,1409,1,1
CRYBB2P1,1416,1,1
CRYBB3,1417,1,1
CRYBG1,202,1,1
CSF2,1437,1,1
CSF2RB,1439,1,1
CSF2RB2,12984,1,1
CSNK2B,1460,1,1
CSPG4,1464,1,1
CSRP1,1465,1,1
CST1,1469,1,1
CSTA,1475,1,1
CSTF2,1478,1,1
CTDSP2,10106,1,1
CTDSPL,10217,1,1
CTNNAL1,8727,1,1
CTNND2,1501,1,1
CTNS,1497,1,1
CTSS,1520,1,1
CTSW,1521,1,1
CUL7,9820,1,1
CWC22,57703,1,1
CWF19L1,55280,1,1
CWH43,80157,1,1
CX3CL1,6376,1,1
CXCL10,3627,1,1
CXCL12,6387,1,1
CXCR4,7852,1,1
CXORF38,159013,1,1
CXXC5,51523,1,1
CYB561D1,284613,1,1
CYB5D1,124637,1,1
CYB5RL,606495,1,1
CYBA,1535,1,1
CYBB,1536,1,1
CYCS,54205,1,1
CYP11A1,1583,1,1
CYP17A1,1586,1,1
CYP20A1,57404,1,1
CYP24A1,1591,1,1
CYP2B13,13089,1,1
CYP2B9,13094,1,1
CYP2C40,13099,1,1
CYP-35A2,182177,1,1
CYP3A7,1551,1,1
CYP4A10,13117,1,1
CYP4F16,70101,1,1
CYP4F18,72054,1,1
CYP4V3,102294,1,1
CYP51,13121,1,1
CYSRT1,375791,1,1
CYTIP,9595,1,1
D5ERTD579E,320661,1,1
DAAM1,23002,1,1
DAB1,1600,1,1
DACT2,168002,1,1
DAGLA,747,1,1
DAO,1610,1,1
DAPK3,1613,1,1
DAXX,1616,1,1
DBF4,10926,1,1
DBF4B,80174,1,1
DBNL,28988,1,1
DCAF5,8816,1,1
DCBLD1,285761,1,1
DCHS1,8642,1,1
DCST1,149095,1,1
DCUN1D5,84259,1,1
DCXR,51181,1,1
DDHD1,80821,1,1
DDHD2,23259,1,1
DDIT4,54541,1,1
DDX10,1662,1,1
DDX11,1663,1,1
DDX20,11218,1,1
DDX21,9188,1,1
DDX27,55661,1,1
DDX51,317781,1,1
DEAF1,10522,1,1
DECR2,26063,1,1
DEDD2,162989,1,1
DEF8,54849,1,1
DEFA21,66298,1,1
DEFA3,1668,1,1
DENND1A,57706,1,1
DENND1B,163486,1,1
DENND2D,79961,1,1
DENND3,22898,1,1
DENR,8562,1,1
DEPDC1B,55789,1,1
DEPDC7,91614,1,1
DGCR6,8214,1,1
DGKQ,1609,1,1
DHCR24,1718,1,1
DHFR,1719,1,1
DHRS11,79154,1,1
DHRS7,51635,1,1
DHX29,54505,1,1
DHX34,9704,1,1
DIAPH2,1730,1,1
DIMT1,27292,1,1
DIO1,1733,1,1
DIS3L2,129563,1,1
DKK1,22943,1,1
DLD,1738,1,1
DLGAP5,9787,1,1
DMAP1,55929,1,1
DMBT1,1755,1,1
DMC1,11144,1,1
DMD,1756,1,1
DMKN,93099,1,1
DMP1,1758,1,1
DMXL2,23312,1,1
DNA2,1763,1,1
DNAJB1,3337,1,1
DNAJB12,54788,1,1
DNAJB3,414061,1,1
DNAJB5,25822,1,1
DNAJC15,29103,1,1
DNAJC25,548645,1,1
DNAJC28,54943,1,1
DNER,92737,1,1
DNM1,1759,1,1
DOCK10,55619,1,1
DOCK8,81704,1,1
DOP1B,9980,1,1
DPH5,51611,1,1
DPH6,89978,1,1
DPM2,8818,1,1
DPPA3,359787,1,1
DPPA5A,434423,1,1
DPYD,1806,1,1
DR1,1810,1,1
DROSHA,29102,1,1
DSC2,1824,1,1
DSC3,1825,1,1
DSN1,79980,1,1
DTL,51514,1,1
DTNBP1,84062,1,1
DTYMK,1841,1,1
DUSP10,11221,1,1
DUSP11,8446,1,1
DUSP12,11266,1,1
DUSP23,54935,1,1
DUSP4,1846,1,1
DUSP5,1847,1,1
DUT,1854,1,1
DYNC2I1,55112,1,1
DYNLL1,8655,1,1
DYNLT1,6993,1,1
DYRK3,8444,1,1
E2F8,79733,1,1
EAPP,55837,1,1
ECHDC3,79746,1,1
ECI1,1632,1,1
ECI3,69123,1,1
ECSCR,641700,1,1
EDA2R,60401,1,1
EDN1,1906,1,1
EDNRA,1909,1,1
EDNRB,1910,1,1
EEF1A1,1915,1,1
EEF1B2,1933,1,1
EEF1D,1936,1,1
EEF1E1,9521,1,1
EEF1G,1937,1,1
EEF2,1938,1,1
EFNA1,1942,1,1
EFNB2,1948,1,1
EFNB3,1949,1,1
EFR3B,22979,1,1
EHF,26298,1,1
EIF1AX,1964,1,1
EIF1AY,9086,1,1
EIF2AK3,9451,1,1
EIF2B1,1967,1,1
EIF2S1,1965,1,1
EIF2S2,8894,1,1
EIF2S3X-PS1,26906,1,1
EIF3A,8661,1,1
EIF3B,8662,1,1
EIF3C,8663,1,1
EIF3D,8664,1,1
EIF3F,8665,1,1
EIF3I,8668,1,1
EIF3J1,78655,1,1
EIF3J2,100042807,1,1
EIF3M,10480,1,1
EIF4A2,1974,1,1
EIF4B,1975,1,1
EIF5A,1984,1,1
EIF5B,9669,1,1
EIPR1,7260,1,1
ELAC2,60528,1,1
ELAVL2,1993,1,1
ELK1,2002,1,1
