Gene Symbol,Gene ID,Interaction Count,Organism Count
CD6,923,3,2
CD68,968,3,3
CD69,969,3,1
CDC20,991,3,2
CDC25A,993,3,2
CDK2AP2,10263,3,2
CDKN3,1033,3,2
CDON,50937,3,3
CEBPD,1052,3,2
CEMIP2,23670,3,2
CFP,5199,3,2
CH25H,9023,3,3
CHIT1,1118,3,2
CHPT1,56994,3,1
CHRND,1144,3,1
CHST11,50515,3,1
CHST15,51363,3,2
CIDEC,63924,3,1
CITED2,10370,3,2
CKLF,51192,3,3
CLDN3,1365,3,2
CLDN5,7122,3,1
CLDN8,9073,3,2
CLEC2D,29121,3,2
CLEC7A,64581,3,1
CMTM7,112616,3,2
COL16A1,1307,3,2
COL3A1,1281,3,2
COL4A1,1282,3,1
COL4A5,1287,3,2
COMT,1312,3,2
COXFA4L3,84419,3,1
CPA2,1358,3,2
CPE,1363,3,1
CSF1,1435,3,1
CSF1R,1436,3,2
CSF3,1440,3,1
CSTB,1476,3,2
CTDSPL,10217,3,2
CTPS1,1503,3,1
CTSB,1508,3,1
CTSS,1520,3,2
CX3CR1,1524,3,2
CXADR,1525,3,2
CXCL17,284340,3,2
CXCR1,3577,3,2
CXCR3,2833,3,1
CXORF38,159013,3,1
CYBA,1535,3,2
CYBRD1,79901,3,1
CYFIP2,26999,3,2
CYP1A2,1544,3,2
CYP2A3,24299,3,1
CYP2F2,13107,3,1
CYP4A14,13119,3,2
CYRIB,51571,3,2
DACH1,1602,3,1
DAPK1,1612,3,2
DAPL1,92196,3,3
DBNL,28988,3,2
DCT,1638,3,1
DDX60,55601,3,1
DENND2D,79961,3,1
DEPTOR,64798,3,2
DHRS11,79154,3,1
DKC1,1736,3,2
DKK3,27122,3,2
DNAJB11,51726,3,2
DNAJB13,374407,3,2
DNASE1L3,1776,3,2
DOCK8,81704,3,1
DOK3,79930,3,2
DPP3,10072,3,3
DPP4,1803,3,2
DPP7,29952,3,2
DSEL,92126,3,1
DST,667,3,2
DTX3L,151636,3,1
DUSP3,1845,3,2
DUSP5,1847,3,2
DZIP1,22873,3,1
EAF2,55840,3,2
ECHDC3,79746,3,2
EDEM3,80267,3,1
EDIL3,10085,3,1
EDN1,1906,3,1
EFHC1,114327,3,1
EFNA1,1942,3,1
EFNA3,1944,3,2
EHMT2,10919,3,2
EIF3B,8662,3,2
EIF4A1,1973,3,2
ELK4,2005,3,2
ELN,2006,3,2
EMB,133418,3,1
EMCN,51705,3,2
EME1,146956,3,2
EMP1,2012,3,2
ENPP5,59084,3,1
ENTPD1,953,3,1
ENTPD3,956,3,2
ENTREP1,9413,3,2
EPB41L3,23136,3,2
