Gene Symbol,Gene ID,Interaction Count,Organism Count
FKBP7,51661,3,2
FSTL3,10272,3,2
FUS,2521,3,1
FYN,2534,3,2
FZD10,11211,3,3
GABARAPL1,23710,3,2
GAL,51083,3,2
GALK1,2584,3,2
GATA2,2624,3,2
GEM,2669,3,1
GEMIN4,50628,3,2
GGT1,2678,3,1
GLI1,2735,3,1
GLRA1,2741,3,1
GLUL,2752,3,2
GMNN,51053,3,2
GNAI2,2771,3,1
GNRH3,360141,3,1
GPR161,23432,3,2
GPX4,2879,3,2
GRIN1,2902,3,2
GSTM2,2946,3,2
GTSE1,51512,3,1
GYS1,2997,3,2
HBEGF,1839,3,1
HES6,55502,3,1
HEXA,3073,3,1
HIVEP1,3096,3,2
HJURP,55355,3,2
HMGB2,3148,3,2
HMGCS2,3158,3,1
HMMR,3161,3,3
HNRNPH1,3187,3,3
HSPA2,3306,3,2
HSPA9,3313,3,2
HSPB6,126393,3,2
HSPG2,3339,3,3
HTRA4,203100,3,1
ID3,3399,3,2
IFIT3,3437,3,2
IFNB1,3456,3,2
IKBKG,8517,3,1
IL10,3586,3,2
IL13RA2,3598,3,2
IL4,3565,3,2
INAB,30230,3,1
IRS2,8660,3,1
ITGA5,3678,3,1
ITGB5,3693,3,2
JUNB,3726,3,2
KCNG1,3755,3,2
KDR,3791,3,1
KEAP1A,321837,3,1
KIF11,3832,3,3
KIF18B,146909,3,1
KIF20A,10112,3,2
KIF5B,3799,3,1
KLF2A,117508,3,1
KRAS,3845,3,2
KRT14,3861,3,2
KYNU,8942,3,2
LAMA1,284217,3,2
LAMA5,3911,3,2
LAMB1,3912,3,2
LAMC1,3915,3,2
LAMP2,3920,3,2
LAMTOR3,8649,3,1
LCN2,3934,3,2
LDLR,3949,3,3
LGALS2A,405830,3,1
LIG1,3978,3,2
LIMA1,51474,3,2
LMNB2,84823,3,1
LPA,4018,3,1
LRP8,7804,3,1
LSS,4047,3,2
LTBP2,4053,3,3
LTF,4057,3,1
LYAR,55646,3,1
MACF1,23499,3,3
MAOA,4128,3,2
MAP1B,4131,3,1
MAP1LC3A,84557,3,2
MAP2K2,5605,3,1
MAP2K4,6416,3,2
MAP2K6,5608,3,1
MAP3K5,4217,3,1
MDM4,4194,3,2
MGMT,4255,3,2
MIBP,64674,3,1
MMP1,4312,3,1
MMP10,4319,3,1
MMP3,4314,3,1
MOGAT2,80168,3,1
MORF4L1,10933,3,1
MPV17,4358,3,1
MT1H,4496,3,1
MVD,4597,3,2
MVP,9961,3,3
NCOA7,135112,3,1
NDRG1,10397,3,2
NEIL1,79661,3,1
NES,10763,3,2
NEURL1B,54492,3,2
NEXN,91624,3,3
NFIL3,4783,3,1
NFKB2,4791,3,1
NGFR,4804,3,3
NOP56,10528,3,2
NPFFL,368264,3,1
NR5A1,2516,3,1
NRCAM,4897,3,2
NRF1,4899,3,2
NRG2,9542,3,1
NRP1,8829,3,2
NT5E,4907,3,2
NUCB2,4925,3,2
NUSAP1,51203,3,3
OR30BX1,80358,3,1
OR42E2,80372,3,1
ORC6,23594,3,2
OSGIN1,29948,3,1
OSMR,9180,3,2
OTX2,5015,3,2
OXSR1,9943,3,2
P4HB,5034,3,1
PAIP2,51247,3,2
PALLD,23022,3,2
PARK7,11315,3,1
PBK,55872,3,3
PCLAF,9768,3,3
PDGFC,56034,3,2
PDIA4,9601,3,3
PFDN2,5202,3,2
PFKFB3,5209,3,1
PINK1,65018,3,2
POSTN,10631,3,3
PPP2CB,5516,3,2
PPP2R2B,5521,3,2
PRDX2,7001,3,2
PRDX6,9588,3,2
PRKAB1,5564,3,1
PRKAG1,5571,3,2
PRKCD,5580,3,1
PRLR,5618,3,3
