Gene Symbol,Gene ID,Interaction Count,Organism Count
ALOX5,240,1,1
AMACR,23600,1,1
AMBN,258,1,1
AMBP,259,1,1
AMMECR1L,83607,1,1
AMY2B,280,1,1
ANGPT1,284,1,1
ANKRD11,29123,1,1
ANKRD12,23253,1,1
ANKRD37,353322,1,1
ANKRD46,157567,1,1
ANPEP,290,1,1
ANXA1,301,1,1
ANXA2,302,1,1
AOC2,314,1,1
AOX1,316,1,1
AP1G1,164,1,1
AP4B1,10717,1,1
AP5Z1,9907,1,1
APC,324,1,1
APCS,325,1,1
APEH,327,1,1
APEX1,328,1,1
APOA2,336,1,1
APOA4,337,1,1
APOBEC1,339,1,1
APOBEC3B,9582,1,1
APOE,348,1,1
APOL1,8542,1,1
APRT,353,1,1
AQP1,358,1,1
AQP12B,653437,1,1
AQP3,360,1,1
AQP4,361,1,1
ARAP2,116984,1,1
ARC,23237,1,1
ARF2,11841,1,1
ARFGEF2,10564,1,1
ARHGAP27,201176,1,1
ARHGAP42A,566275,1,1
ARHGEF7,8874,1,1
ARHGEF9,23229,1,1
ARID1A,8289,1,1
ARID3A,1820,1,1
ARID4B,51742,1,1
ARIH1,25820,1,1
ARK2N,147339,1,1
ARL14,80117,1,1
ARL14EP,120534,1,1
ARL4C,10123,1,1
ARL5B,221079,1,1
ARL6IP5,10550,1,1
ARPC5L,81873,1,1
ARPP19,10776,1,1
ARRB2,409,1,1
ARRDC2,27106,1,1
ART1,417,1,1
ART3,419,1,1
ASAH2,56624,1,1
ASAP1,50807,1,1
ASAP1-IT1,29065,1,1
ASAP3,55616,1,1
ASNS,440,1,1
ASS1,445,1,1
ASTN1,460,1,1
ATF3,467,1,1
ATF4,468,1,1
ATF6,22926,1,1
ATF7IP,55729,1,1
ATG101,60673,1,1
ATG12,9140,1,1
ATG5,9474,1,1
ATIC,471,1,1
ATM,472,1,1
ATOH8,84913,1,1
ATP1A1,476,1,1
ATP1A3,478,1,1
ATP2A1,487,1,1
ATP2C1,27032,1,1
ATP5F1A,498,1,1
ATP5PD,10476,1,1
ATP5PO,539,1,1
ATP6V1C1,528,1,1
ATP6V1E1,529,1,1
AURKA,6790,1,1
AURKB,9212,1,1
AVL9,23080,1,1
AVPI1,60370,1,1
AZIN1,51582,1,1
B3GNT2,10678,1,1
B3GNT5,84002,1,1
BAG1,573,1,1
BAG2,9532,1,1
BAG5,9529,1,1
BAIAP2,10458,1,1
BANP,54971,1,1
BAXB,503609,1,1
BBC3,27113,1,1
BBS10,79738,1,1
BCAS2,10286,1,1
BCL10,8915,1,1
BCL2A,570772,1,1
BCL2A1,597,1,1
BCL2L11,10018,1,1
BCL2L13,23786,1,1
BCL2L15,440603,1,1
BCL3,602,1,1
BCL7A,605,1,1
BCMO-1,189959,1,1
BCR,613,1,1
BDH1,622,1,1
