Gene Symbol,Gene ID,Interaction Count,Organism Count
TMOD2,29767,2,1
TNFRSF1A,7132,2,1
TNK2,10188,2,1
TNRC6A,27327,2,1
TNS3,64759,2,2
TOP3A,7156,2,2
TPP1,1200,2,1
TRAPPC12,51112,2,1
TRH,7200,2,2
TRIM16,10626,2,1
TRIM27,5987,2,1
TRPC1,7220,2,1
TRPV5,56302,2,2
TSC22D3,1831,2,1
TSHB,7252,2,1
TSPAN2,10100,2,1
TTF1,7270,2,1
TTX-1,180313,2,1
TUBA1B,10376,2,1
TULP2,7288,2,2
TXN,7295,2,1
U2AF1,7307,2,1
UBA52,7311,2,1
UBAP2,55833,2,1
UBTD1,80019,2,1
UGT1AB,406731,2,1
UQCRC2,7385,2,1
USP12,219333,2,1
USP32,84669,2,1
VEGFA,7422,2,1
VSTM2B,342865,2,1
VSX2,338917,2,1
WNT11,7481,2,1
WSCD2,9671,2,1
XPO5,57510,2,1
XRCC1,7515,2,1
XRCC4,7518,2,1
ZC3H7A,29066,2,1
ZDBF2,57683,2,2
ZDHHC14,79683,2,2
ZFHX3,463,2,1
ZFYVE27,118813,2,1
A2M,2,1,1
AAGAB,79719,1,1
ABCA2,20,1,1
ABCA3,21,1,1
ABCC3,8714,1,1
ABCF1,23,1,1
ABCG4,64137,1,1
ABHD12,26090,1,1
ABHD2,11057,1,1
ABHD5,51099,1,1
ABHD8,79575,1,1
ABL2,27,1,1
ABLIM2,84448,1,1
ABLIM3,22885,1,1
ABR,29,1,1
ABT1,29777,1,1
ACACA,31,1,1
ACADL,33,1,1
ACADM,34,1,1
ACBD4,79777,1,1
ACBD5,91452,1,1
ACD,65057,1,1
ACE,1636,1,1
ACKR2,1238,1,1
ACOX1,51,1,1
ACP1,52,1,1
ACRV1,56,1,1
ACSBG1,23205,1,1
ACSM1,116285,1,1
ACSM3,6296,1,1
ACSS1,84532,1,1
ACSS3,79611,1,1
ACTA1,58,1,1
ACTL6A,86,1,1
ACTN2,88,1,1
ACTN4,81,1,1
ACVR1,90,1,1
ACVR1C,130399,1,1
ACYP1,97,1,1
ADAM23,8745,1,1
ADAMTS1,9510,1,1
ADAMTS12,81792,1,1
ADAMTS2,9509,1,1
ADAMTS3,9508,1,1
ADAMTS5,11096,1,1
ADAP1,11033,1,1
ADCK2,90956,1,1
ADCY2,108,1,1
ADCY8,114,1,1
ADCY9,115,1,1
ADCYAP1,116,1,1
ADCYAP1R1,117,1,1
ADGRB1,575,1,1
ADH1B,125,1,1
ADH4,127,1,1
ADIPOR1,51094,1,1
ADIRF,10974,1,1
ADK,132,1,1
ADORA1,134,1,1
ADORA2B,136,1,1
ADRA2A,150,1,1
ADSL,158,1,1
AFF4,27125,1,1
AFTPH,54812,1,1
AGAP1,116987,1,1
AGAP2,116986,1,1
AGBL4,84871,1,1
AGO1,26523,1,1
AGPAT5,55326,1,1
AGTPBP1,23287,1,1
AHCY,191,1,1
AIFM2,84883,1,1
AIRE,326,1,1
AIRN,100271873,1,1
AJUBA,84962,1,1
AK3,50808,1,1
AK5,26289,1,1
AKAP1,8165,1,1
AKAP10,11216,1,1
AKAP3,10566,1,1
AKAP6,9472,1,1
AKT2,208,1,1
AKT3,10000,1,1
AKTIP,64400,1,1
ALAS1,211,1,1
ALCAM,214,1,1
ALDH16A1,126133,1,1
ALDH1B1,219,1,1
ALDH3A2,224,1,1
ALDH5A1,7915,1,1
ALDH9A1,223,1,1
ALDOA,226,1,1
ALG8,79053,1,1
ALKBH7,84266,1,1
ALOX15,246,1,1
ALOX5,240,1,1
ALPI,248,1,1
AMFR,267,1,1
AMN,81693,1,1
AMN1,196394,1,1
AMON,43215,1,1
AMPD3,272,1,1
AMY1,11722,1,1
ANAPC2,29882,1,1
ANAPC5,51433,1,1
ANK3,288,1,1
ANKDD1A,348094,1,1
ANKFN1,162282,1,1
ANKHD1,54882,1,1
ANKRA2,57763,1,1
ANKRD13A,88455,1,1
ANKRD13C,81573,1,1
ANKRD13C-DT,11147,1,1
ANKRD16,54522,1,1
ANKRD46,157567,1,1
ANKRD6,22881,1,1
ANO1,55107,1,1
ANOS1,3730,1,1
ANP32CP,23520,1,1
ANXA2P2,304,1,1
ANXA4,307,1,1
ANXA5,308,1,1
AP2A1,160,1,1
AP2M1,1173,1,1
AP3M1,26985,1,1
AP4E1,23431,1,1
APBA1,320,1,1
APBA2,321,1,1
APCS,325,1,1
APH1A,51107,1,1
APOA1,335,1,1
APOA2,336,1,1
APODA.1,767642,1,1
AQP4,361,1,1
AQR,9716,1,1
ARAF,369,1,1
ARF3,377,1,1
ARHGAP1,392,1,1
ARHGAP20,57569,1,1
ARHGAP22,58504,1,1
ARHGAP29,9411,1,1
ARHGAP30,257106,1,1
ARHGAP31,57514,1,1
ARHGAP42,143872,1,1
ARHGDIA,396,1,1
ARHGDIB,397,1,1
ARHGDIG,398,1,1
ARHGEF12,23365,1,1
ARHGEF2,9181,1,1
ARHGEF3,50650,1,1
ARK2N,147339,1,1
ARL1,400,1,1
ARL5A,26225,1,1
ARL8A,127829,1,1
ARLN,401152,1,1
ARMC8,25852,1,1
ARPC1A,10552,1,1
ARPC2,10109,1,1
ARR1,35078,1,1
ARRDC1,92714,1,1
ARRDC2,27106,1,1
ARRDC5,645432,1,1
ARTN,9048,1,1
ASAH1,427,1,1
ASB2,51676,1,1
ASCC2,84164,1,1
ASNS,440,1,1
ASPH,444,1,1
ASPHD1,253982,1,1
ASPHD2,57168,1,1
ASPSCR1,79058,1,1
ATAD2B,54454,1,1
ATF2,1386,1,1
ATG7,10533,1,1
ATL1,51062,1,1
ATM,472,1,1
ATP10B,23120,1,1
ATP11C,286410,1,1
ATP13A2,23400,1,1
ATP1A3,478,1,1
ATP1B1,481,1,1
ATP1B2,482,1,1
ATP2B3,492,1,1
ATP2B4,493,1,1
ATP2C1,27032,1,1
ATP5F1B,506,1,1
ATP5F1C,509,1,1
ATP5MC2,517,1,1
ATP5PO,539,1,1
ATP6V0A1,535,1,1
ATP6V0A2,23545,1,1
ATP8B1,5205,1,1
ATP9A,10079,1,1
ATXN1,6310,1,1
ATXN2,6311,1,1
AUTS2,26053,1,1
AVEN,57099,1,1
AZGP1,563,1,1
AZIN2,113451,1,1
B3GALNT1,8706,1,1
B3GAT2,135152,1,1
B3GNT2,10678,1,1
B3GNT5,84002,1,1
B3GNT9,84752,1,1
B4GALNT3,283358,1,1
B9D1,27077,1,1
BAALC,79870,1,1
BAB1,38116,1,1
BAIAP2L1,55971,1,1
BAIAP3,8938,1,1
BANP,54971,1,1
BATF3,55509,1,1
BAZ1A,11177,1,1
BBOX1,8424,1,1
BBX,56987,1,1
BCAM,4059,1,1
BCAN,63827,1,1
BCAP31,10134,1,1
BCAS3,54828,1,1
BCCIP,56647,1,1
BCL3,602,1,1
BCORL1,63035,1,1
BCRP3,644165,1,1
BEAN1,146227,1,1
BEAT-IB,34939,1,1
BEND3,57673,1,1
BEND6,221336,1,1
BEST1,7439,1,1
BEX5,340542,1,1
BID,637,1,1
BIRC2,329,1,1
BLCAP,10904,1,1
BLM,641,1,1
BLOC1S2,282991,1,1
BLOC1S6,26258,1,1
BLTP3B,23074,1,1
BLVRB,645,1,1
BMP3,651,1,1
BMP7,655,1,1
BOP1,23246,1,1
BORA,79866,1,1
BRD4,23476,1,1
BRD7,29117,1,1
BRI3BP,140707,1,1
