Gene Symbol,Gene ID,Interaction Count,Organism Count
GALNT14,79623,3,3
GAP43,2596,3,3
GCGR,2642,3,3
GDI2,2665,3,2
GEM,2669,3,3
GFAP,2670,3,2
GJA4,2701,3,2
GKN1,56287,3,3
GLIS2,84662,3,3
GLUD1,2746,3,3
GP1BB,2812,3,2
GPD1,2819,3,3
GPR146,115330,3,2
GPX2,2877,3,3
GREB1,9687,3,2
GRIN3A,116443,3,2
GRX1,40053,3,2
GSTM2,2946,3,2
GSTT1,2952,3,3
GSTZ1,2954,3,3
GTF3A,2971,3,3
HADHA,3030,3,3
HADHB,3032,3,1
HAS2,3037,3,1
HBA2,3040,3,1
HBA-A1,15122,3,2
HBEGF,1839,3,1
HDAC3,8841,3,2
HDC,3067,3,2
HECTD2,143279,3,3
HEPH,9843,3,2
HES6,55502,3,2
HJURP,55355,3,2
HMOX1A,791518,3,2
HOXA7,3204,3,1
HS1BP3,64342,3,2
HSD17B12,51144,3,2
HSD17B4,3295,3,3
HSDL2,84263,3,3
HSP90AB2P,391634,3,1
HSPA4L,22824,3,2
HSPB2,3316,3,3
HYOU1,10525,3,3
ID2,3398,3,2
IDH1,3417,3,2
IFT46,56912,3,3
IGFBP7,3490,3,2
IKBIP,121457,3,1
IL13,3596,3,3
IL1R2,7850,3,2
IMMP2L,83943,3,2
INSR,3643,3,1
INTS5,80789,3,2
IPO7,10527,3,2
ITGAM,3684,3,1
IVD,3712,3,2
JAM2,58494,3,2
JUP,3728,3,1
KCNK5,8645,3,2
KEAP1A,321837,3,2
KEAP1B,100003679,3,1
KIAA1217,56243,3,1
KISS1R,84634,3,3
KIT,3815,3,2
KLF6,1316,3,2
KLHDC4,54758,3,2
KLHL7,55975,3,2
KMT2A,4297,3,2
KNOP1,400506,3,1
KRT1,3848,3,1
KRT5,3852,3,1
KRT6A,3853,3,1
KRT9,3857,3,1
L1CAM,3897,3,2
LAMB2,3913,3,2
LAMTOR1,55004,3,2
LAMTOR4,389541,3,2
LBR,3930,3,1
LDB2,9079,3,2
LDLRAD4,753,3,2
LEP,3952,3,2
LEPROTL1,23484,3,3
LGALS1,3956,3,2
LIG3,3980,3,2
LOXL1,4016,3,3
LRRC59,55379,3,1
LTBP1,4052,3,1
LTF,4057,3,2
LYVE1,10894,3,2
MAGI1,9223,3,2
MAGT1,84061,3,3
MAO,404730,3,2
MAP2K7,5609,3,2
MAP4K5,11183,3,2
MAPK6,5597,3,3
MC2R,4158,3,2
MCAM,4162,3,3
MCM6,4175,3,2
MED1,5469,3,2
MEIOC,284071,3,2
MET,4233,3,1
MFF,56947,3,2
MGAT2,4247,3,2
MGLL,11343,3,3
MICAL1,64780,3,2
MIGA1,374986,3,2
MINDY1,55793,3,2
MINK1,50488,3,2
MIR10B,406903,3,1
MIR146A,406938,3,2
MIR146B,574447,3,2
MIR155,406947,3,1
MIR20B,574032,3,3
MIR22,407004,3,1
MIR27A,407018,3,2
MIR29C,407026,3,2
MIR328,442901,3,1
MIR489,574442,3,2
MLC1,23209,3,2
MMP3,4314,3,2
MPEG1,219972,3,3
MRAP,56246,3,2
MSANTD4,84437,3,3
MSH2,4436,3,2
MTA1,9112,3,1
MTDH,92140,3,2
MXD1,4084,3,2
MYEF2,50804,3,2
MYF5,4617,3,3
MYLK,4638,3,2
NABP1,64859,3,3
NCKAP1,10787,3,1
NCOR1,9611,3,2
ND4,4538,3,2
ND5,4540,3,2
NDRG1,10397,3,2
NDRG4,65009,3,3
NDUFV1,4723,3,1
NDUFV2,4729,3,2
NEIL1,79661,3,2
NEK9,91754,3,1
NFATC2,4773,3,2
NGF,4803,3,1
NME2,4831,3,2
NOTCH2,4853,3,2
NOTCH3,4854,3,2
NPLOC4,55666,3,2
NPPB,4879,3,1
NR4A2,4929,3,2
NR4A3,8013,3,2
NRIP1,8204,3,2
NRP2,8828,3,1
NUCKS1,64710,3,2
NUDT1,4521,3,3
OGA,10724,3,3
OGDH,4967,3,3
OLFML2A,169611,3,2
OMD,4958,3,2
ORMDL3,94103,3,3
OSGIN1,29948,3,2
OSTF1,26578,3,2
P2RY6,5031,3,2
PABIR2,159090,3,2
PABPC4,8761,3,2
PAQR9,344838,3,2
PBK,55872,3,1
PCCB,5096,3,2
PDE10A,10846,3,2
PDE1C,5137,3,2
PDE6C,5146,3,1
PDGFA,5154,3,1
PDGFC,56034,3,2
PDK1,5163,3,2
PDLIM5,10611,3,2
PDZK1,5174,3,2
PEBP1,5037,3,3
PEPCK1,37131,3,1
PER2,8864,3,3
PFN1,5216,3,2
PGK1,5230,3,2
PHC3,80012,3,2
PHOSPHO2,493911,3,2
PIEZO1,9780,3,2
PIK3CG,5294,3,2
PKDCC,91461,3,2
PLAGL1,5325,3,3
PLD3,23646,3,2
PLEC,5339,3,2
PLIN3,10226,3,1
PLIN5,440503,3,1
